name,galaxy_type,redshift,sfr,sfr_5Myr,sfr_10Myr,sfr_100Myr,gas_mass,star_mass,gas_average_metallicity,star_average_metallicity,gas_metallicity_inner_galaxy,star_metallicity_inner_galaxy,h2_mass_semi_analytical,h2_mass_cloudy,co_mass_cloudy,halo_mass,L_fir,L_skirt_full_wavelength_range,number_of_NaN_indices,gas_metallicity_hden_higher_than_1eminus2,gas_metallicity_hden_higher_than_1,L_co_10_semi_analytical,Pgas_10kpc,Pstar_10kpc,Ptotal_10kpc,Pgas_20kpc,Pstar_20kpc,Ptotal_20kpc,Pgas_half_light_visible_z500pc,Pstar_half_light_visible_z500pc,Ptotal_half_light_visible_z500pc,R_half_light_visible,R_half_light_stellar_mass,metallicity_gas_half_light_visible_z500pc,metalicity_star_half_light_visible_z500pc,hden_mass_average_half_light_visible_z500pc,fire_temperature_mass_average_half_light_visible_z500pc,co_weighted_temperature_mass_average_half_light_visible_z500pc,h2_weighted_temperature_mass_average_half_light_visible_z500pc,column_density_half_light_visible_z500pc,L_ly_alpha,L_h_alpha,L_h_beta,L_co_10,L_co_21,L_co_32,L_co_43,L_co_54,L_co_65,L_co_76,L_co_87,L_13co,L_c2,L_o3_88,L_o3_5006,L_o3_4958,L_ly_alpha_half_light_visible_z500pc,L_h_alpha_half_light_visible_z500pc,L_h_beta_half_light_visible_z500pc,L_co_10_half_light_visible_z500pc,L_co_21_half_light_visible_z500pc,L_co_32_half_light_visible_z500pc,L_co_43_half_light_visible_z500pc,L_co_54_half_light_visible_z500pc,L_co_65_half_light_visible_z500pc,L_co_76_half_light_visible_z500pc,L_co_87_half_light_visible_z500pc,L_13co_half_light_visible_z500pc,L_c2_half_light_visible_z500pc,L_o3_88_half_light_visible_z500pc,L_o3_5006_half_light_visible_z500pc,L_o3_4958_half_light_visible_z500pc
gal6,firebox,0.0,2.05173e+01,1.19875e+01,9.64670e+00,6.65056e+00,6.25577e+09,1.91985e+11,3.95310e+00,1.73453e+00,4.00202e+00,1.84044e+00,4.31505e+09,3.12877e+09,3.49094e+06,5.69554e+12,4.29772e+44,7.80637e+44,0,3.99589e+00,4.07310e+00,6.84579e+09,1.17663e+04,6.10387e+04,7.28050e+04,7.49274e+02,7.90756e+03,8.65684e+03,1.15794e+05,3.80561e+05,4.96355e+05,3.30000e+03,2.90000e+03,4.43240e+00,2.39582e+00,4.59154e+01,1.48342e+04,3.56127e+01,3.48176e+01,5.88963e+01,9.30604e+40,3.09088e+40,1.03819e+40,2.05333e+09,1.83065e+09,1.17054e+09,5.80395e+08,1.78756e+08,2.27352e+07,1.07828e+06,2.44352e+04,3.05157e+08,7.78115e+40,9.31735e+39,8.35349e+38,2.79987e+38,2.92339e+40,1.14338e+40,3.82696e+39,1.34041e+09,1.17501e+09,7.59191e+08,3.85967e+08,1.23010e+08,1.61234e+07,7.69488e+05,1.74405e+04,2.15369e+08,2.11599e+40,3.80911e+39,8.50573e+35,2.85096e+35
gal10,firebox,0.0,5.38794e+00,3.98980e+00,4.55809e+00,4.14415e+00,1.33586e+10,1.59521e+11,1.70902e+00,1.81091e+00,3.07062e+00,1.89076e+00,3.49167e+09,2.53700e+09,1.03777e+06,3.30658e+12,2.69863e+44,5.20100e+44,0,1.71219e+00,2.33595e+00,3.46292e+09,6.76430e+03,4.64369e+04,5.32012e+04,2.45965e+03,1.42092e+04,1.66689e+04,1.08776e+04,1.20339e+05,1.31217e+05,2.90000e+03,2.10000e+03,4.72043e+00,2.40743e+00,3.72524e+01,1.77968e+04,7.34692e+01,6.96134e+01,1.80514e+01,3.60009e+41,7.29607e+40,2.51795e+40,7.27761e+08,6.83488e+08,4.25375e+08,1.96770e+08,5.61128e+07,6.64232e+06,3.03285e+05,6.90138e+03,9.28937e+07,1.39511e+41,1.04184e+40,3.15371e+39,1.05701e+39,9.98597e+39,3.96476e+39,1.32949e+39,3.59962e+08,3.24981e+08,2.08397e+08,1.02329e+08,3.09746e+07,3.79113e+06,1.70286e+05,3.81862e+03,5.28585e+07,7.31847e+39,1.41474e+39,2.01976e+35,6.76950e+34
gal8,firebox,0.0,1.70854e+01,2.09394e+01,1.97552e+01,1.84045e+01,1.21197e+10,1.78664e+11,1.72774e+00,1.78061e+00,2.27858e+00,1.83463e+00,4.65953e+09,3.37095e+09,1.34941e+06,4.19004e+12,7.41706e+44,1.01717e+45,0,1.74804e+00,2.17996e+00,4.48259e+09,1.39315e+04,6.92687e+04,8.32001e+04,1.41902e+03,1.11562e+04,1.25752e+04,2.09653e+04,1.68912e+05,1.89877e+05,3.10000e+03,1.50000e+03,3.40381e+00,2.27936e+00,4.62415e+01,1.97021e+05,1.01347e+02,1.00136e+02,2.50608e+01,5.50151e+41,1.51426e+41,5.20957e+40,1.47831e+09,1.45852e+09,9.21036e+08,4.07570e+08,1.01900e+08,1.08143e+07,4.72460e+05,1.04996e+04,1.48386e+08,1.78427e+41,4.58862e+40,6.75361e+39,2.26354e+39,4.24589e+40,2.03411e+40,6.84048e+39,6.65582e+08,6.48315e+08,4.17510e+08,1.90695e+08,4.88165e+07,5.13016e+06,2.19521e+05,4.91036e+03,7.08401e+07,1.95843e+40,1.21527e+40,1.62537e+37,5.44802e+36
gal5,firebox,0.0,7.71784e+00,7.41454e+00,6.25934e+00,5.67420e+00,2.00254e+10,1.68525e+11,2.09304e+00,1.37514e+00,2.72932e+00,1.45860e+00,8.49121e+09,5.96728e+09,8.81804e+05,6.14253e+12,3.02294e+44,5.96615e+44,0,2.09865e+00,2.26876e+00,6.03062e+09,4.09903e+04,8.07751e+04,1.21765e+05,7.75542e+03,1.84473e+04,2.62027e+04,4.06265e+04,9.16212e+04,1.32248e+05,5.70000e+03,3.10000e+03,3.14211e+00,1.97262e+00,2.05588e+01,9.21736e+03,7.01953e+01,6.68382e+01,3.48859e+01,4.29589e+41,1.04662e+41,3.57845e+40,7.87786e+08,7.79092e+08,4.70913e+08,2.02616e+08,5.35539e+07,6.15070e+06,2.88854e+05,6.73810e+03,8.53779e+07,2.42601e+41,1.76783e+40,1.71835e+39,5.75914e+38,5.25575e+40,1.66346e+40,5.60433e+39,5.95238e+08,5.56162e+08,3.46479e+08,1.60182e+08,4.49107e+07,5.26060e+06,2.45463e+05,5.63780e+03,7.24128e+07,3.63238e+40,3.69200e+39,6.19611e+36,2.07673e+36
gal9,firebox,0.0,7.01500e+00,4.68034e+00,4.50061e+00,3.78887e+00,2.36812e+10,1.70465e+11,2.44253e+00,1.51897e+00,3.13084e+00,1.58563e+00,8.88837e+09,6.06412e+09,8.08835e+05,3.59139e+12,2.49116e+44,5.52429e+44,0,2.44201e+00,2.56108e+00,5.88609e+09,1.87134e+04,5.44255e+04,7.31389e+04,1.09878e+04,2.23318e+04,3.33196e+04,2.11950e+04,6.72579e+04,8.84529e+04,5.70000e+03,3.30000e+03,3.42434e+00,1.96241e+00,1.77142e+01,6.99764e+03,8.30814e+01,7.69482e+01,2.51978e+01,3.33625e+41,7.89138e+40,2.67678e+40,6.68462e+08,6.87544e+08,4.04756e+08,1.66692e+08,4.43360e+07,5.35162e+06,2.62324e+05,6.25254e+03,7.35353e+07,2.83191e+41,1.05272e+40,4.34643e+38,1.45672e+38,2.82434e+40,8.34547e+39,2.79237e+39,3.96036e+08,3.64016e+08,2.27262e+08,1.07600e+08,3.19875e+07,4.00953e+06,1.94359e+05,4.50634e+03,5.42433e+07,2.39927e+40,1.23328e+39,1.37463e+36,4.60729e+35
gal4,firebox,0.0,1.65365e+01,1.54882e+01,1.24470e+01,8.43141e+00,1.37832e+10,2.27069e+11,3.36633e+00,1.91147e+00,3.59060e+00,2.02373e+00,8.99656e+09,6.24379e+09,3.21933e+06,6.51056e+12,5.03949e+44,8.71052e+44,0,3.42353e+00,3.52594e+00,1.06428e+10,5.24027e+04,1.10276e+05,1.62679e+05,3.79685e+03,1.56378e+04,1.94347e+04,8.47362e+04,1.66996e+05,2.51733e+05,5.70000e+03,3.70000e+03,3.88871e+00,2.56086e+00,2.72876e+01,2.04158e+04,4.57367e+01,4.43263e+01,5.03825e+01,2.03681e+41,6.00050e+40,2.02154e+40,2.31865e+09,2.15059e+09,1.34735e+09,6.33153e+08,1.82772e+08,2.20959e+07,1.03892e+06,2.37137e+04,3.00897e+08,1.51725e+41,1.61138e+40,2.60650e+39,8.73564e+38,6.43242e+40,2.27326e+40,7.58985e+39,1.75864e+09,1.60016e+09,1.01366e+09,4.88500e+08,1.44541e+08,1.76840e+07,8.29594e+05,1.89387e+04,2.40694e+08,4.63954e+40,7.83652e+39,9.18442e+36,3.07830e+36
gal12,firebox,0.0,9.45074e+00,8.56744e+00,9.87647e+00,6.72131e+00,2.03025e+10,1.34370e+11,9.09439e-01,1.97406e+00,1.80146e+00,2.04367e+00,3.75704e+09,2.42191e+09,4.92097e+05,2.45670e+12,3.43225e+44,5.99330e+44,0,9.11181e-01,1.25103e+00,2.33331e+09,4.61021e+03,3.01797e+04,3.47899e+04,2.68679e+03,1.16892e+04,1.43760e+04,6.80403e+03,5.65610e+04,6.33650e+04,3.90000e+03,2.10000e+03,3.13885e+00,2.45163e+00,3.54932e+01,2.92805e+04,1.20770e+02,1.19751e+02,1.42767e+01,1.61434e+42,3.14753e+41,1.10046e+41,4.93598e+08,4.86843e+08,3.03257e+08,1.33508e+08,3.41918e+07,3.75022e+06,1.69239e+05,3.85103e+03,5.12642e+07,2.53873e+41,4.24346e+40,2.51656e+40,8.43477e+39,2.80840e+40,1.07837e+40,3.66470e+39,3.24497e+08,3.09597e+08,1.97662e+08,9.10592e+07,2.38940e+07,2.59704e+06,1.14675e+05,2.57048e+03,3.55188e+07,1.35294e+40,4.14223e+39,1.43286e+37,4.80256e+36
gal7,firebox,0.0,2.12327e+01,8.55140e+00,8.20828e+00,6.90637e+00,2.54932e+10,1.96636e+11,1.56972e+00,1.64189e+00,2.61817e+00,1.74165e+00,7.87906e+09,5.30518e+09,1.22578e+06,4.75130e+12,3.41354e+44,7.37623e+44,0,1.56997e+00,1.72608e+00,4.66708e+09,2.36202e+04,6.85159e+04,9.21361e+04,1.27199e+04,2.66451e+04,3.93650e+04,2.33841e+04,7.88376e+04,1.02222e+05,5.90000e+03,3.10000e+03,2.93826e+00,2.10963e+00,2.68107e+01,7.41420e+03,9.64643e+01,9.27082e+01,2.64671e+01,1.01139e+42,2.27809e+41,7.86651e+40,8.15970e+08,7.85398e+08,4.92433e+08,2.26112e+08,6.39987e+07,7.82964e+06,3.64634e+05,8.26981e+03,1.04629e+08,3.57445e+41,3.37938e+40,6.66129e+39,2.23264e+39,5.30840e+40,1.71343e+40,5.78791e+39,7.07023e+08,6.51991e+08,4.20368e+08,2.03563e+08,5.97532e+07,7.40893e+06,3.43771e+05,7.69538e+03,9.82349e+07,3.45352e+40,3.69125e+39,8.76764e+36,2.93862e+36
gal0,firebox,0.0,3.00471e+01,2.58920e+01,2.13020e+01,1.69348e+01,1.10278e+10,3.20861e+11,3.40845e+00,1.95662e+00,3.57664e+00,2.06008e+00,7.77358e+09,5.54210e+09,3.99038e+06,1.76563e+13,8.07103e+44,1.31942e+45,0,3.57864e+00,3.63653e+00,1.03873e+10,3.61601e+04,1.07893e+05,1.44053e+05,2.35496e+03,1.43919e+04,1.67468e+04,1.41430e+05,2.56248e+05,3.97678e+05,5.50000e+03,3.70000e+03,3.75668e+00,2.68579e+00,3.49031e+01,3.33058e+04,3.93482e+01,3.86459e+01,6.50903e+01,2.36270e+41,7.55492e+40,2.55350e+40,3.12857e+09,2.91121e+09,1.85637e+09,8.81054e+08,2.48793e+08,2.91511e+07,1.32627e+06,2.97541e+04,3.94827e+08,1.40276e+41,2.50005e+40,5.85916e+39,1.96364e+39,1.21438e+41,4.65680e+40,1.56578e+40,2.90678e+09,2.68606e+09,1.72221e+09,8.25187e+08,2.34677e+08,2.76071e+07,1.25621e+06,2.81754e+04,3.73096e+08,7.33447e+40,1.67211e+40,2.18961e+37,7.33852e+36
gal17,firebox,0.0,1.45427e-01,1.91638e-01,9.81370e-01,7.03062e-01,2.64047e+09,1.03680e+11,2.41086e+00,1.49628e+00,2.63460e+00,1.56313e+00,6.44234e+08,3.25982e+08,2.68266e+04,1.94610e+12,6.62515e+43,2.43795e+44,0,2.41070e+00,2.63159e+00,3.56588e+08,1.38777e+03,1.58345e+04,1.72223e+04,1.28524e+02,2.46829e+03,2.59682e+03,1.14230e+03,2.76319e+04,2.87742e+04,2.90000e+03,2.30000e+03,3.90855e+00,1.96733e+00,9.06066e+00,7.58506e+03,1.34278e+02,1.24943e+02,5.84973e+00,2.31032e+40,5.89514e+39,1.99565e+39,3.31075e+07,3.81721e+07,2.13129e+07,7.58929e+06,1.72464e+06,1.75623e+05,7.69148e+03,2.01398e+02,2.67235e+06,2.46680e+40,1.93171e+39,4.26526e+38,1.42963e+38,2.60520e+39,1.29170e+39,4.30776e+38,1.96230e+07,1.95726e+07,1.18662e+07,5.10551e+06,1.31242e+06,1.32485e+05,5.37636e+03,1.20975e+02,1.99744e+06,2.03373e+39,8.89458e+38,9.61724e+34,3.22348e+34
