Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
23	:	1759167211.541	     3.589	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal22 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal22.out 2> timings_z1.0/gal22.time
61	:	1759167211.621	     3.509	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal60 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal60.out 2> timings_z1.0/gal60.time
2	:	1759167211.503	     3.631	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal1 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal1.out 2> timings_z1.0/gal1.time
5	:	1759167211.509	     3.625	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal4 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal4.out 2> timings_z1.0/gal4.time
9	:	1759167211.517	     3.618	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal8 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal8.out 2> timings_z1.0/gal8.time
11	:	1759167211.521	     3.614	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal10 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal10.out 2> timings_z1.0/gal10.time
12	:	1759167211.522	     3.612	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal11 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal11.out 2> timings_z1.0/gal11.time
15	:	1759167211.527	     3.608	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal14 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal14.out 2> timings_z1.0/gal14.time
16	:	1759167211.529	     3.606	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal15 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal15.out 2> timings_z1.0/gal15.time
20	:	1759167211.536	     3.599	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal19 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal19.out 2> timings_z1.0/gal19.time
29	:	1759167211.554	     3.582	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal28 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal28.out 2> timings_z1.0/gal28.time
34	:	1759167211.563	     3.572	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal33 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal33.out 2> timings_z1.0/gal33.time
35	:	1759167211.565	     3.570	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal34 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal34.out 2> timings_z1.0/gal34.time
