name,galaxy_type,redshift,sfr,sfr_5Myr,sfr_10Myr,sfr_100Myr,gas_mass,star_mass,gas_average_metallicity,star_average_metallicity,gas_metallicity_inner_galaxy,star_metallicity_inner_galaxy,h2_mass_semi_analytical,h2_mass_cloudy,co_mass_cloudy,halo_mass,L_fir,L_skirt_full_wavelength_range,number_of_NaN_indices,gas_metallicity_hden_higher_than_1eminus2,gas_metallicity_hden_higher_than_1,L_co_10_semi_analytical,Pgas_10kpc,Pstar_10kpc,Ptotal_10kpc,Pgas_20kpc,Pstar_20kpc,Ptotal_20kpc,Pgas_half_light_visible_z500pc,Pstar_half_light_visible_z500pc,Ptotal_half_light_visible_z500pc,R_half_light_visible,R_half_light_stellar_mass,metallicity_gas_half_light_visible_z500pc,metalicity_star_half_light_visible_z500pc,hden_mass_average_half_light_visible_z500pc,fire_temperature_mass_average_half_light_visible_z500pc,co_weighted_temperature_mass_average_half_light_visible_z500pc,h2_weighted_temperature_mass_average_half_light_visible_z500pc,column_density_half_light_visible_z500pc,L_ly_alpha,L_h_alpha,L_h_beta,L_co_10,L_co_21,L_co_32,L_co_43,L_co_54,L_co_65,L_co_76,L_co_87,L_13co,L_c2,L_o3_88,L_o3_5006,L_o3_4958,L_ly_alpha_half_light_visible_z500pc,L_h_alpha_half_light_visible_z500pc,L_h_beta_half_light_visible_z500pc,L_co_10_half_light_visible_z500pc,L_co_21_half_light_visible_z500pc,L_co_32_half_light_visible_z500pc,L_co_43_half_light_visible_z500pc,L_co_54_half_light_visible_z500pc,L_co_65_half_light_visible_z500pc,L_co_76_half_light_visible_z500pc,L_co_87_half_light_visible_z500pc,L_13co_half_light_visible_z500pc,L_c2_half_light_visible_z500pc,L_o3_88_half_light_visible_z500pc,L_o3_5006_half_light_visible_z500pc,L_o3_4958_half_light_visible_z500pc,alpha_co_cloudy,X_co_cloudy,alpha_co_semi_analytical,X_co_semi_analytical
gal6,firebox,0.0,20.5173,11.9875,9.6467,6.65056,6255770000.0,191985000000.0,3.9531,1.73453,4.00202,1.84044,4315050000.0,3128770000.0,3490940.0,5695540000000.0,4.29772e+44,7.80637e+44,0,3.99589,4.0731,6845790000.0,11766.3,61038.7,72805.0,749.274,7907.56,8656.84,115794.0,380561.0,496355.0,3300.0,2900.0,4.4324,2.39582,45.9154,14834.2,35.6127,34.8176,58.8963,9.30604e+40,3.09088e+40,1.03819e+40,2053330000.0,1830650000.0,1170540000.0,580395000.0,178756000.0,22735200.0,1078280.0,24435.2,305157000.0,7.78115e+40,9.31735e+39,8.35349e+38,2.79987e+38,2.92339e+40,1.14338e+40,3.8269599999999996e+39,1340410000.0,1175010000.0,759191000.0,385967000.0,123010000.0,16123400.0,769488.0,17440.5,215369000.0,2.11599e+40,3.80911e+39,8.50573e+35,2.85096e+35,1.5237540970034043,9.599650811121446e+19,2.1014888011181836,1.3239379447044556e+20
gal10,firebox,0.0,5.38794,3.9898,4.55809,4.14415,13358600000.0,159521000000.0,1.70902,1.81091,3.07062,1.89076,3491670000.0,2537000000.0,1037770.0,3306580000000.0,2.69863e+44,5.200999999999999e+44,0,1.71219,2.33595,3462920000.0,6764.3,46436.9,53201.2,2459.65,14209.2,16668.9,10877.6,120339.0,131217.0,2900.0,2100.0,4.72043,2.40743,37.2524,17796.8,73.4692,69.6134,18.0514,3.60009e+41,7.29607e+40,2.51795e+40,727761000.0,683488000.0,425375000.0,196770000.0,56112800.0,6642320.0,303285.0,6901.38,92893700.0,1.3951100000000001e+41,1.0418399999999999e+40,3.15371e+39,1.05701e+39,9.985969999999999e+39,3.96476e+39,1.32949e+39,359962000.0,324981000.0,208397000.0,102329000.0,30974600.0,3791130.0,170286.0,3818.62,52858500.0,7.31847e+39,1.41474e+39,2.01976e+35,6.7695e+34,3.4860345635449,2.196201775033287e+20,4.797825110166662,3.022629819404997e+20
gal8,firebox,0.0,17.0854,20.9394,19.7552,18.4045,12119700000.0,178664000000.0,1.72774,1.78061,2.27858,1.83463,4659530000.0,3370950000.0,1349410.0,4190040000000.0,7.41706e+44,1.01717e+45,0,1.74804,2.17996,4482590000.0,13931.5,69268.7,83200.1,1419.02,11156.2,12575.2,20965.3,168912.0,189877.0,3100.0,1500.0,3.40381,2.27936,46.2415,197021.0,101.347,100.136,25.0608,5.50151e+41,1.51426e+41,5.20957e+40,1478310000.0,1458520000.0,921036000.0,407570000.0,101900000.0,10814300.0,472460.0,10499.6,148386000.0,1.78427e+41,4.58862e+40,6.75361e+39,2.26354e+39,4.2458899999999997e+40,2.0341099999999999e+40,6.840479999999999e+39,665582000.0,648315000.0,417510000.0,190695000.0,48816500.0,5130160.0,219521.0,4910.36,70840100.0,1.95843e+40,1.21527e+40,1.62537e+37,5.44802e+36,2.2802727438764534,1.4365718286421657e+20,3.1519302446712802,1.9857160541429065e+20
gal5,firebox,0.0,7.71784,7.41454,6.25934,5.6742,20025400000.0,168525000000.0,2.09304,1.37514,2.72932,1.4586,8491210000.0,5967280000.0,881804.0,6142530000000.0,3.02294e+44,5.96615e+44,0,2.09865,2.26876,6030620000.0,40990.3,80775.1,121765.0,7755.42,18447.3,26202.7,40626.5,91621.2,132248.0,5700.0,3100.0,3.14211,1.97262,20.5588,9217.36,70.1953,66.8382,34.8859,4.29589e+41,1.0466200000000001e+41,3.5784499999999997e+40,787786000.0,779092000.0,470913000.0,202616000.0,53553900.0,6150700.0,288854.0,6738.1,85377900.0,2.4260100000000003e+41,1.7678299999999999e+40,1.71835e+39,5.75914e+38,5.25575e+40,1.66346e+40,5.604329999999999e+39,595238000.0,556162000.0,346479000.0,160182000.0,44910700.0,5260600.0,245463.0,5637.8,72412800.0,3.6323799999999997e+40,3.692e+39,6.19611e+36,2.0767299999999998e+36,7.574747456796643,4.772090897781885e+20,10.778574384414041,6.790501862180846e+20
gal9,firebox,0.0,7.015,4.68034,4.50061,3.78887,23681200000.0,170465000000.0,2.44253,1.51897,3.13084,1.58563,8888370000.0,6064120000.0,808835.0,3591390000000.0,2.49116e+44,5.52429e+44,0,2.44201,2.56108,5886090000.0,18713.4,54425.5,73138.9,10987.8,22331.8,33319.6,21195.0,67257.9,88452.9,5700.0,3300.0,3.42434,1.96241,17.7142,6997.64,83.0814,76.9482,25.1978,3.33625e+41,7.89138e+40,2.6767799999999997e+40,668462000.0,687544000.0,404756000.0,166692000.0,44336000.0,5351620.0,262324.0,6252.54,73535300.0,2.8319100000000002e+41,1.05272e+40,4.3464299999999995e+38,1.45672e+38,2.82434e+40,8.345469999999999e+39,2.79237e+39,396036000.0,364016000.0,227262000.0,107600000.0,31987500.0,4009530.0,194359.0,4506.34,54243300.0,2.39927e+40,1.2332799999999999e+39,1.3746299999999999e+36,4.60729e+35,9.071749777848254,5.7152023600444e+20,13.296746860704124,8.376950522243598e+20
gal4,firebox,0.0,16.5365,15.4882,12.447,8.43141,13783200000.0,227069000000.0,3.36633,1.91147,3.5906,2.02373,8996560000.0,6243790000.0,3219330.0,6510560000000.0,5.039489999999999e+44,8.71052e+44,0,3.42353,3.52594,10642800000.0,52402.7,110276.0,162679.0,3796.85,15637.8,19434.7,84736.2,166996.0,251733.0,5700.0,3700.0,3.88871,2.56086,27.2876,20415.8,45.7367,44.3263,50.3825,2.0368100000000002e+41,6.0005e+40,2.02154e+40,2318650000.0,2150590000.0,1347350000.0,633153000.0,182772000.0,22095900.0,1038920.0,23713.7,300897000.0,1.51725e+41,1.6113799999999998e+40,2.6064999999999998e+39,8.735639999999999e+38,6.43242e+40,2.27326e+40,7.58985e+39,1758640000.0,1600160000.0,1013660000.0,488500000.0,144541000.0,17684000.0,829594.0,18938.7,240694000.0,4.6395399999999995e+40,7.83652e+39,9.18442e+36,3.0783e+36,2.692855756582494,1.6964991266469714e+20,3.8800853945183618,2.444453798546568e+20
gal12,firebox,0.0,9.45074,8.56744,9.87647,6.72131,20302500000.0,134370000000.0,0.909439,1.97406,1.80146,2.04367,3757040000.0,2421910000.0,492097.0,2456700000000.0,3.4322499999999997e+44,5.9933e+44,0,0.911181,1.25103,2333310000.0,4610.21,30179.7,34789.9,2686.79,11689.2,14376.0,6804.03,56561.0,63365.0,3900.0,2100.0,3.13885,2.45163,35.4932,29280.5,120.77,119.751,14.2767,1.6143399999999998e+42,3.1475300000000002e+41,1.10046e+41,493598000.0,486843000.0,303257000.0,133508000.0,34191800.0,3750220.0,169239.0,3851.03,51264200.0,2.5387300000000003e+41,4.24346e+40,2.51656e+40,8.43477e+39,2.8084e+40,1.0783699999999999e+40,3.6647e+39,324497000.0,309597000.0,197662000.0,91059200.0,23894000.0,2597040.0,114675.0,2570.48,35518800.0,1.35294e+40,4.1422299999999996e+39,1.43286e+37,4.80256e+36,4.90664467846304,3.091186147431715e+20,7.611538134271209,4.7952690245908614e+20
gal7,firebox,0.0,21.2327,8.5514,8.20828,6.90637,25493200000.0,196636000000.0,1.56972,1.64189,2.61817,1.74165,7879060000.0,5305180000.0,1225780.0,4751300000000.0,3.41354e+44,7.37623e+44,0,1.56997,1.72608,4667080000.0,23620.2,68515.9,92136.1,12719.9,26645.1,39365.0,23384.1,78837.6,102222.0,5900.0,3100.0,2.93826,2.10963,26.8107,7414.2,96.4643,92.7082,26.4671,1.01139e+42,2.2780900000000003e+41,7.86651e+40,815970000.0,785398000.0,492433000.0,226112000.0,63998700.0,7829640.0,364634.0,8269.81,104629000.0,3.57445e+41,3.3793799999999997e+40,6.661289999999999e+39,2.2326399999999997e+39,5.3084e+40,1.71343e+40,5.78791e+39,707023000.0,651991000.0,420368000.0,203563000.0,59753200.0,7408930.0,343771.0,7695.38,98234900.0,3.45352e+40,3.6912499999999995e+39,8.76764e+36,2.93862e+36,6.501685110972217,4.096061619912497e+20,9.656065786732356,6.083321445641384e+20
gal0,firebox,0.0,30.0471,25.892,21.302,16.9348,11027800000.0,320861000000.0,3.40845,1.95662,3.57664,2.06008,7773580000.0,5542100000.0,3990380.0,17656300000000.0,8.07103e+44,1.31942e+45,0,3.57864,3.63653,10387300000.0,36160.1,107893.0,144053.0,2354.96,14391.9,16746.8,141430.0,256248.0,397678.0,5500.0,3700.0,3.75668,2.68579,34.9031,33305.8,39.3482,38.6459,65.0903,2.3627000000000003e+41,7.55492e+40,2.5535e+40,3128570000.0,2911210000.0,1856370000.0,881054000.0,248793000.0,29151100.0,1326270.0,29754.1,394827000.0,1.40276e+41,2.50005e+40,5.859159999999999e+39,1.96364e+39,1.21438e+41,4.6568e+40,1.56578e+40,2906780000.0,2686060000.0,1722210000.0,825187000.0,234677000.0,27607100.0,1256210.0,28175.4,373096000.0,7.33447e+40,1.6721099999999999e+40,2.1896100000000003e+37,7.33852e+36,1.7714482974649761,1.116012427402935e+20,2.484707070642498,1.5653654545047736e+20
gal17,firebox,0.0,0.145427,0.191638,0.98137,0.703062,2640470000.0,103680000000.0,2.41086,1.49628,2.6346,1.56313,644234000.0,325982000.0,26826.6,1946100000000.0,6.625149999999999e+43,2.43795e+44,0,2.4107,2.63159,356588000.0,1387.77,15834.5,17222.3,128.524,2468.29,2596.82,1142.3,27631.9,28774.2,2900.0,2300.0,3.90855,1.96733,9.06066,7585.06,134.278,124.943,5.84973,2.31032e+40,5.895139999999999e+39,1.9956499999999998e+39,33107500.0,38172100.0,21312900.0,7589290.0,1724640.0,175623.0,7691.48,201.398,2672350.0,2.4668e+40,1.93171e+39,4.26526e+38,1.4296299999999999e+38,2.6051999999999998e+39,1.2916999999999999e+39,4.3077599999999994e+38,19623000.0,19572600.0,11866200.0,5105510.0,1312420.0,132485.0,5376.36,120.975,1997440.0,2.03373e+39,8.89458e+38,9.61724e+34,3.2234799999999997e+34,9.846167786755267,6.203085705655817e+20,19.458853734048176,1.225907785245035e+21
gal13,firebox,0.0,2.81848,2.43673,2.69516,3.57884,19011000000.0,96344700000.0,1.23614,1.48538,1.98921,1.60424,3707830000.0,2484840000.0,32372.9,2276940000000.0,1.40225e+44,3.81218e+44,0,1.2352,1.36293,1429870000.0,11796.2,42276.5,54072.7,6697.7,16584.6,23282.3,11314.0,70828.4,82142.4,3900.0,2100.0,2.37963,2.03682,11.3318,33258.3,126.916,120.743,18.41,8.85182e+41,1.82488e+41,6.33338e+40,66250300.0,82215700.0,44151300.0,13544200.0,2484530.0,243775.0,12387.0,340.479,3740790.0,2.49144e+41,2.9071199999999997e+40,8.19648e+39,2.74717e+39,1.7601699999999999e+40,5.26699e+39,1.78439e+39,20265800.0,22889500.0,12880100.0,4509270.0,936565.0,96227.2,4986.91,132.255,1414030.0,1.0729199999999999e+40,1.58993e+39,3.44671e+36,1.15533e+36,37.50684902558932,2.362931488612127e+21,55.96699184758408,3.5259204863977975e+21
gal2,firebox,0.0,19.4292,15.8531,14.3525,12.9599,42059800000.0,299278000000.0,2.30703,2.00812,3.48435,2.20545,19854100000.0,13864800000.0,2472920.0,12380900000000.0,7.0676699999999995e+44,1.24721e+45,0,2.30767,2.42877,14561900000.0,72324.4,118334.0,190659.0,30451.7,41191.3,71643.1,9088.57,35757.1,44845.7,6900.0,4300.0,4.13011,2.7531,19.753,12197.0,110.868,99.5499,16.5004,9.75567e+41,2.4260500000000002e+41,8.276989999999999e+40,1904630000.0,1872720000.0,1130660000.0,491223000.0,135468000.0,16379500.0,777722.0,17988.6,228307000.0,5.59659e+41,3.5248699999999997e+40,1.79751e+39,6.02451e+38,3.44621e+40,1.06373e+40,3.5511799999999996e+39,695274000.0,635465000.0,397361000.0,190030000.0,58582600.0,7542490.0,355639.0,8109.16,105174000.0,2.82454e+40,1.80784e+39,1.71812e+36,5.7586100000000005e+35,7.279524107044413,4.58610018743798e+20,10.424124370612665,6.567198353485979e+20
gal16,firebox,0.0,4.98473,3.41011,4.8347,4.36703,3155050000.0,137429000000.0,3.28354,1.95572,3.68314,2.01941,1792700000.0,1218310000.0,753959.0,2029290000000.0,2.52038e+44,4.95132e+44,0,3.69824,3.89501,2336230000.0,2439.94,26084.4,28524.3,166.877,3455.8,3622.67,35407.2,197528.0,232935.0,3300.0,2300.0,4.22683,2.47915,25.7762,22491.1,67.6585,65.2633,32.568,6.93927e+40,2.1283099999999998e+40,7.158799999999999e+39,493724000.0,460728000.0,288395000.0,135206000.0,39466500.0,4845220.0,227286.0,5142.35,66153200.0,3.9197399999999996e+40,1.15569e+40,2.64216e+39,8.855059999999999e+38,2.27885e+40,1.0485499999999999e+40,3.4935399999999996e+39,399422000.0,367565000.0,232232000.0,110788000.0,32581600.0,3955190.0,181506.0,4073.88,54503700.0,1.5040699999999998e+40,7.37127e+39,3.86577e+36,1.2959899999999999e+36,2.4675932302257944,1.5545837350422505e+20,3.630976010888675,2.287514886859865e+20
gal14,firebox,0.0,62.4266,31.6045,26.9125,20.3424,11340700000.0,134861000000.0,2.42283,1.56252,2.49861,1.60962,5640960000.0,3929240000.0,1288880.0,2243030000000.0,9.03768e+44,1.18321e+45,0,2.42976,2.48568,5440520000.0,22780.5,54091.3,76871.8,1776.05,7732.13,9508.18,17264.4,41827.0,59091.4,6100.0,4700.0,2.5423,1.79031,38.018,132179.0,173.335,165.647,22.7416,5.68653e+41,2.10137e+41,7.17575e+40,1600480000.0,1649840000.0,1028610000.0,430003000.0,101325000.0,10850900.0,480580.0,10529.0,145547000.0,2.39628e+41,1.00509e+41,1.21971e+39,4.0881199999999995e+38,1.41348e+41,5.607239999999999e+40,1.9033099999999999e+40,639061000.0,658215000.0,411432000.0,172543000.0,40371500.0,4231210.0,185215.0,4054.55,57397600.0,5.54929e+40,2.8454399999999997e+40,1.2707799999999999e+38,4.26008e+37,2.455038488453464,1.5466742477256822e+20,3.5245426372088375,2.2204618614415678e+20
gal21,firebox,0.0,11.6974,8.94528,6.16026,4.91042,7585270000.0,57020000000.0,1.56764,1.29562,1.6544,1.32369,2690610000.0,1730120000.0,232420.0,1231080000000.0,2.2724799999999997e+44,3.66914e+44,0,1.58197,1.67518,1527670000.0,12669.7,44117.3,56787.1,957.764,6094.79,7052.55,69689.8,283095.0,352784.0,2100.0,1500.0,2.24466,1.65161,61.7397,11051.7,78.7052,77.642,45.691,2.69259e+41,7.03358e+40,2.4234299999999997e+40,321130000.0,347783000.0,213511000.0,85097100.0,19386400.0,2070190.0,92435.0,2064.4,27849900.0,1.03631e+41,1.5752099999999999e+40,1.68061e+39,5.63271e+38,3.19143e+40,1.21131e+40,4.15631e+39,250356000.0,264374000.0,166476000.0,69196800.0,16251700.0,1753800.0,77523.9,1701.53,23285400.0,1.14324e+40,3.5369799999999996e+39,2.3047100000000003e+37,7.72445e+36,5.387600037368044,3.3941880235418675e+20,8.378569426711923,5.278498738828512e+20
gal15,firebox,0.0,7.50835,7.61645,7.04022,6.51855,18321800000.0,111292000000.0,1.64251,1.57044,2.22723,1.65721,6730500000.0,4440360000.0,518231.0,2099590000000.0,3.1538099999999998e+44,5.7627199999999995e+44,0,1.65272,1.84755,4129740000.0,41591.6,75375.6,116967.0,6128.85,14845.9,20974.7,40284.2,99010.8,139295.0,5300.0,2700.0,2.66444,2.06775,23.0641,9521.31,81.6045,78.9519,34.7386,6.2581200000000004e+41,1.44694e+41,4.97964e+40,546845000.0,543557000.0,329835000.0,141062000.0,36016500.0,3994130.0,182818.0,4142.01,55090500.0,2.4401e+41,2.1413299999999998e+40,4.02246e+39,1.3481699999999999e+39,6.88094e+40,2.16134e+40,7.32563e+39,444457000.0,421383000.0,262516000.0,119100000.0,31745200.0,3564390.0,162662.0,3654.74,48684800.0,3.93864e+40,4.6784699999999995e+39,1.94956e+37,6.53424e+36,8.119960866424673,5.115575345847544e+20,12.307875174866735,7.753961360166043e+20
gal19,firebox,0.0,14.5538,11.2641,8.84138,7.42232,10924200000.0,77680400000.0,2.27382,1.59045,2.47933,1.6396,5703850000.0,3937170000.0,931864.0,1617580000000.0,3.28091e+44,5.0649599999999996e+44,0,2.29856,2.52476,4967560000.0,11791.4,38016.6,49808.0,852.454,5157.73,6010.18,9937.75,57618.9,67556.6,3700.0,2500.0,3.16795,1.89278,39.9018,19447.0,151.523,145.947,17.254,2.79199e+41,7.41872e+40,2.53342e+40,1017480000.0,988351000.0,614435000.0,271221000.0,68965500.0,7557640.0,343339.0,7681.12,102791000.0,1.40309e+41,1.54868e+40,1.7773999999999998e+39,5.95709e+38,2.21014e+40,8.28719e+39,2.8056e+39,300106000.0,278637000.0,179467000.0,85362900.0,23436500.0,2687180.0,122282.0,2733.46,35666700.0,1.2276099999999999e+40,2.7718699999999996e+39,4.9444699999999995e+36,1.6572299999999998e+36,3.8695306050241776,2.437804281165232e+20,5.605859574635374,3.5316915320202854e+20
gal20,firebox,0.0,6.32155,3.8278,3.66632,4.48331,21841400000.0,109529000000.0,2.16909,1.63928,3.19376,1.70439,7514860000.0,5308660000.0,711619.0,1289740000000.0,2.2422099999999998e+44,4.50649e+44,0,2.17427,2.46499,5424040000.0,26066.6,53250.0,79316.5,9042.38,16805.5,25847.9,34598.3,69840.1,104438.0,5900.0,3900.0,3.48435,2.14194,17.0982,7912.86,72.8681,69.1441,32.1938,3.86435e+41,8.52835e+40,2.90986e+40,646527000.0,648865000.0,386621000.0,162927000.0,42913200.0,4946710.0,234126.0,5459.18,68971700.0,2.4922600000000003e+41,1.14116e+40,1.6586e+39,5.558899999999999e+38,4.3421599999999997e+40,1.33081e+40,4.45575e+39,489955000.0,462442000.0,284453000.0,129102000.0,35864300.0,4172910.0,193630.0,4374.47,57949100.0,3.61073e+40,2.31566e+39,1.90879e+36,6.39757e+35,8.211041456891978,5.172956117841946e+20,11.623427946551343,7.322759606327346e+20
gal1,firebox,0.0,51.9977,44.6087,43.1593,42.2111,51931300000.0,375554000000.0,1.50356,1.76773,2.23922,1.92098,23710700000.0,15041100000.0,2447030.0,13568000000000.0,1.7933900000000002e+45,2.7875800000000002e+45,0,1.50856,1.59698,14621100000.0,159900.0,217635.0,377535.0,35192.4,52899.6,88092.0,26830.9,77788.9,104620.0,7500.0,2500.0,2.48673,2.3567,30.0909,71638.7,117.727,116.098,28.3507,3.84397e+42,9.940750000000001e+41,3.4452100000000002e+41,2182280000.0,2152710000.0,1320380000.0,573664000.0,149206000.0,17042800.0,786798.0,17854.8,232085000.0,9.46079e+41,2.11044e+41,3.6218799999999997e+40,1.21393e+40,1.74797e+41,5.18838e+40,1.77258e+40,1056680000.0,982157000.0,620472000.0,291859000.0,82930700.0,10016000.0,466540.0,10551.8,134710000.0,7.43076e+40,1.08489e+40,3.4273699999999994e+38,1.14874e+38,6.89237861319354,4.34219852631193e+20,10.865104386238245,6.845015763330095e+20
