Complexity,Loss,Equation
1,3.713771,"62836.184"
3,3.444512,"463994.53 / x9"
4,2.0882542,"exp(x0) * 229474.95"
5,1.8200157,"107604.53 / (x1 * x1)"
7,0.99205714,"exp(x0) * (exp(x0) * 837481.06)"
8,0.9303464,"exp(x0) * (392690.97 / (x1 * x1))"
9,0.8704859,"((exp(x0) * exp(x0)) * 5.777567e6) / x9"
10,0.42024955,"((exp(x0) * exp(x1)) * 4.4750645e6) * exp(x0)"
12,0.37653124,"exp(x0) * (exp(x0) * ((exp(x0) / x9) * 2.3672738e7))"
14,0.34405562,"x3 * ((((exp(x0) * exp(x1)) / x9) * 1.6240724e6) * exp(x0))"
16,0.34172714,"(exp(x1) * (exp(x1) * (((x2 + x3) * x3) * exp(x0)))) * 15919.578"
18,0.30359134,"((x3 * exp(x0)) * (x3 * (((exp(x1) * x3) * x3) * exp(x0)))) * x3"
20,0.28627244,"(((exp(x0) * ((x3 + x2) * (exp(x1) * x3))) * x3) * (x3 * exp(x0))) * x8"
21,0.24851035,"(exp(x1) * (((exp(x0) * x3) / 0.0001913134) * ((0.47555587 + (exp(x2) - -2.2604787)) * x3))) * exp(x1)"
22,0.23172225,"((exp(x1) * (((x3 * (exp(x1) * (exp(x2) - -2.2604787))) * exp(x0)) * x3)) / 0.0001913134) + exp(x1)"
23,0.17681938,"exp(x1) * ((x3 * ((exp(x2) - -0.79730195) * (x3 * (exp(x0) * (exp(x1) * (x3 * x4)))))) * x3)"
25,0.1749466,"(x3 * ((exp(x1) * (x3 * ((exp(x1) * (x3 * x3)) * x3))) * (exp(x2) - -0.68570644))) * (exp(x0) / 0.8257862)"
27,0.1749196,"(x3 * ((exp(x1) * (((x3 * exp(x1)) * (x3 * x3)) * x3)) * ((exp(x2) - -0.68570644) * (exp(x0) / 0.8257862)))) - 0.25269246"
29,0.1742167,"((((exp(x2) - -0.71934026) * exp(x0)) * (((x0 / 0.03338242) + (x3 * x4)) / 0.82037306)) * (exp(x1) * ((x3 * x3) * x3))) * exp(x1)"
