Complexity,Loss,Equation
1,1.5619875,"47877.223"
3,0.9555901,"exp(x3) / 19033.854"
5,0.38711074,"(exp(x1) * exp(x3)) / exp(x9)"
7,0.32824165,"(exp(x3) / 762.3802) * (exp(x0) * exp(x1))"
9,0.3189514,"(exp(x1) / 71.22539) * ((exp(x3) * exp(x1)) / x9)"
11,0.31543678,"((exp(x1) * (exp(x0) / x9)) * (exp(x3) * 1.032387)) / 109.7691"
15,0.31334534,"(exp(x0) / x9) * (((exp(x3) * 0.72562385) / (77.15642 - x2)) * exp(x1))"
17,0.3039637,"((exp(x0 + x3) / ((exp(exp(x0)) - -12.389493) * x9)) * exp(x1)) / x9"
19,0.29684964,"(((exp(x3 + x0) / ((6.8909817 - x2) * x8)) / x9) * 1.7100893) * exp(x1)"
21,0.29600227,"((exp(x1) * exp(x3 + x0)) / (((exp(exp(x0)) - -11.477263) - x2) * x9)) / x9"
23,0.28719467,"(((exp(x1) / (((exp(exp(x0)) - -3.4972346) - x2) * x9)) / x9) * exp(x3 + x0)) / 2.361472"
27,0.28699532,"((exp(x3 + x0) * ((exp(x1) / (((exp(exp(x0)) - -3.4892933) - x2) * x9)) / x9)) / 2.3681498) + 1.1480162"
29,0.28665164,"(exp(x1) * (((exp(x3 + x0) / (((exp(exp(x0)) - -3.4441342) - x2) * x9)) / x9) / 2.4214587)) + (x1 * x2)"
