Complexity,Loss,Equation
1,1.1044917,"47906.043"
3,0.8210698,"exp(x0) * 190290.27"
5,0.43287876,"(exp(x3) / x7) / exp(x9)"
7,0.27372858,"exp(x1) * exp(x3 - x9)"
9,0.2538515,"(exp(x0) * exp(x3 - x9)) / 2.1768231"
11,0.23717214,"exp(x3 - x9) * (exp(x0) / (x7 / 4.2937036))"
15,0.23437479,"(exp(x3 - x9) * (exp(x0) * -4.3662415)) / (x2 - x6)"
17,0.23063721,"(((exp(x3 - x9) * x9) * exp(x0)) / -1.6188171) / (x2 - x6)"
19,0.2299973,"(((x9 * exp(x0)) / -40.45083) / (x2 - x6)) * (exp(x3 - x9) * x8)"
21,0.21749419,"(((x9 * exp(x0)) / -0.14112899) / x7) * (exp(x3 - x9) / ((-0.808276 / exp(x0)) - x6))"
23,0.21575272,"(x9 * (((exp(x0) / -0.14112899) / x7) / ((-0.808276 / exp(x1)) - (x7 / 1.2793612)))) * exp(x3 - x9)"
25,0.21556139,"(((exp(x3 - x9) * x9) * (exp(x0) / -0.11429666)) / x7) / ((-0.9351813 / exp(x1)) - (x7 - 0.5204922))"
